line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89,hw910,hw1011,hw1112,hw1213
18,2021-01-11 20:06:26.240075700,2,3.71969,4,BF67GMU,BF67GMX,BF67GKV,0,0,0,0,0,0,0,0,0,0,-772,1715,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:06:26.240075700,3,3.7105,4,BF67GMU,BF67GMX,BF67GKV,BF67GMZ,0,0,0,0,0,0,0,0,0,-772,1715,515,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:05:25.970894200,1,2.95749,4,BF67GMU,BF67GMX,0,0,0,0,0,0,0,0,0,0,0,-780,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:05:25.970894200,2,3.60105,4,BF67GMU,BF67GMX,BF67GKV,0,0,0,0,0,0,0,0,0,0,-780,1633,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:04:56.310804500,1,3.24892,4,BF67GMU,BF67GMX,0,0,0,0,0,0,0,0,0,0,0,-897,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:04:56.310804500,2,3.77164,4,BF67GMU,BF67GMX,BF67GKV,0,0,0,0,0,0,0,0,0,0,-897,1627,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:04:56.310804500,1,2.92511,4,BF67GMU,BF67GMX,0,0,0,0,0,0,0,0,0,0,0,-767,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:04:56.310804500,2,3.66104,4,BF67GMU,BF67GMX,BF67GKV,0,0,0,0,0,0,0,0,0,0,-767,1683,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:04:56.310804500,3,3.69218,4,BF67GMU,BF67GMX,BF67GKV,BF67GMZ,0,0,0,0,0,0,0,0,0,-767,1683,578,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:03:57.940495800,1,3.48803,4,BF67GMU,BF67GMX,0,0,0,0,0,0,0,0,0,0,0,-993,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:07:56.284115600,2,3.54009,3,BF67GMX,BF67GKV,BF67GMZ,0,0,0,0,0,0,0,0,0,0,1781,443,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:07:28.366131400,2,3.47692,3,BF67GMX,BF67GKV,BF67GMZ,0,0,0,0,0,0,0,0,0,0,1730,519,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:06:26.240075700,2,3.43514,3,BF67GMX,BF67GKV,BF67GMZ,0,0,0,0,0,0,0,0,0,0,1715,515,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:04:56.310804500,2,3.41616,3,BF67GMX,BF67GKV,BF67GMZ,0,0,0,0,0,0,0,0,0,0,1683,578,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:07:56.284115600,3,3.82738,3,BF67GLJ,BF67GMU,BF67GMX,BF67GKV,0,0,0,0,0,0,0,0,0,381,-825,1781,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:07:28.366131400,3,3.70215,3,BF67GLJ,BF67GMU,BF67GMX,BF67GKV,0,0,0,0,0,0,0,0,0,321,-773,1730,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:06:26.240075700,3,3.64936,3,BF67GLJ,BF67GMU,BF67GMX,BF67GKV,0,0,0,0,0,0,0,0,0,385,-772,1715,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:04:56.310804500,3,3.65724,3,BF67GLJ,BF67GMU,BF67GMX,BF67GKV,0,0,0,0,0,0,0,0,0,557,-897,1627,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:04:56.310804500,3,3.59887,3,BF67GLJ,BF67GMU,BF67GMX,BF67GKV,0,0,0,0,0,0,0,0,0,371,-767,1683,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:07:56.284115600,3,3.8467,3,BF67GMU,BF67GMX,BF67GKV,BF67GMZ,0,0,0,0,0,0,0,0,0,-825,1781,443,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:07:28.366131400,3,3.74034,3,BF67GMU,BF67GMX,BF67GKV,BF67GMZ,0,0,0,0,0,0,0,0,0,-773,1730,519,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:06:26.240075700,3,3.7105,3,BF67GMU,BF67GMX,BF67GKV,BF67GMZ,0,0,0,0,0,0,0,0,0,-772,1715,515,0,0,0,0,0,0,0,0,0
18,2021-01-11 20:04:56.310804500,3,3.69218,3,BF67GMU,BF67GMX,BF67GKV,BF67GMZ,0,0,0,0,0,0,0,0,0,-767,1683,578,0,0,0,0,0,0,0,0,0
