,line_id,direction,lon,lat,sequence
214,18,2,-0.314499,51.553449,111
215,18,2,-0.314886,51.554291,112
216,18,2,-0.315134,51.55461,113
217,18,2,-0.315149,51.554619,114
0,25,1,-0.107427,51.517739,0
1,25,1,-0.106781,51.517666,1
2,25,1,-0.106324,51.517587,2
3,25,1,-0.104898,51.517213,3
4,25,1,-0.102123,51.516359,4
5,25,1,-0.101657,51.516126,5
6,25,1,-0.099518,51.515579,6
7,25,1,-0.098793,51.515675,7
8,25,1,-0.098683,51.515889,8
9,25,1,-0.098269,51.516143,9
10,25,1,-0.097392,51.516084,10
11,25,1,-0.097209,51.515973,11
12,25,1,-0.097131,51.515774,12
13,25,1,-0.097191,51.51502,13
14,25,1,-0.09672,51.514571,14
15,25,1,-0.09683,51.514349,15
16,25,1,-0.096407,51.513793,16
17,25,1,-0.096333,51.513486,17
18,25,1,-0.096444,51.512894,18
19,25,1,-0.093898,51.512439,19
20,25,1,-0.093523,51.512442,20
21,25,1,-0.089664,51.513387,21
22,25,1,-0.087534,51.513325,22
23,25,1,-0.081126,51.513517,23
24,25,1,-0.078269,51.513254,24
25,25,1,-0.077559,51.513342,25
26,25,1,-0.075223,51.514068,26
27,25,1,-0.070013,51.515924,27
28,25,1,-0.069394,51.516256,28
29,25,1,-0.065802,51.517698,29
30,25,1,-0.062609,51.518536,30
31,25,1,-0.056732,51.519814,31
32,25,1,-0.056356,51.519826,32
33,25,1,-0.049829,51.521112,33
34,25,1,-0.04939,51.521266,34
35,25,1,-0.049218,51.521246,35
36,25,1,-0.045669,51.521987,36
37,25,1,-0.044145,51.522231,37
38,25,1,-0.042467,51.522374,38
39,25,1,-0.041289,51.522606,39
40,25,1,-0.038981,51.523314,40
41,25,1,-0.037126,51.524218,41
42,25,1,-0.034519,51.525164,42
43,25,1,-0.032654,51.525627,43
44,25,1,-0.031376,51.525839,44
45,25,1,-0.025087,51.527245,45
46,25,1,-0.018203,51.528406,46
47,25,1,-0.017542,51.528691,47
48,25,1,-0.01447,51.529709,48
49,25,1,-0.014479,51.529844,49
50,25,1,-0.014301,51.529949,50
51,25,1,-0.013533,51.530035,51
52,25,1,-0.011664,51.530921,52
53,25,1,-0.009885,51.532033,53
54,25,1,-0.006949,51.534213,54
55,25,1,-0.005436,51.535518,55
56,25,1,-0.002261,51.537883,56
57,25,1,-0.000765,51.539126,57
58,25,1,-0.00064,51.539331,58
59,25,1,-0.000681,51.539718,59
60,25,1,-0.001258,51.540366,60
61,25,1,-0.001937,51.540342,61
62,25,1,-0.002179,51.540409,62
