line,datetime,dim,m_dist,anom,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89
132,2021-01-19 21:16:45.120475,1,1.09744,0,0,4837,4728,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0
132,2021-01-19 21:16:45.120475,1,0.69757,0,0,4728,4828,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0
133,2021-01-19 21:16:44.525413,1,1.38629,0,0,8312,4690,0,0,0,0,0,0,0,829,0,0,0,0,0,0,0
133,2021-01-19 21:16:44.525413,1,1.23302,0,0,4699,4685,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0
132,2021-01-19 21:16:45.120475,2,1.3087,0,0,4837,4728,4828,0,0,0,0,0,0,281,382,0,0,0,0,0,0
1,2021-01-19 21:17:36.049785,1,0.29359,0,0,8280,8322,0,0,0,0,0,0,0,1094,0,0,0,0,0,0,0
44,2021-01-19 21:17:33.608328,1,0.05861,0,0,5661,5657,0,0,0,0,0,0,0,734,0,0,0,0,0,0,0
82,2021-01-19 21:17:35.546433,1,1.10353,0,0,4836,4710,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0
132,2021-01-19 21:17:34.111399,1,1.32707,0,0,4837,4728,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0
132,2021-01-19 21:17:34.111399,1,0.85044,0,0,4835,4826,0,0,0,0,0,0,0,773,0,0,0,0,0,0,0
132,2021-01-19 21:17:34.111399,1,0.50754,0,0,4728,4828,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0
133,2021-01-19 21:17:34.909747,1,1.35943,0,0,8312,4690,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0
133,2021-01-19 21:17:34.909747,1,1.30018,0,0,4699,4685,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0
132,2021-01-19 21:17:34.111399,2,1.33747,0,0,4837,4728,4828,0,0,0,0,0,0,223,430,0,0,0,0,0,0
